age,income,loan_amount,loan_term_months,credit_score,num_of_defaults,existing_emis,employment_type,education,property_area,marital_status,default
59,71267,22209,36,476,0,5183,Salaried,Graduate,Rural,Single,0
49,58354,29052,36,584,2,3788,Self-employed,Postgraduate,Urban,Single,1
35,12557,43513,36,362,0,2768,Salaried,Postgraduate,Rural,Married,1
63,48360,31092,60,455,0,4167,Salaried,PhD,Urban,Single,1
28,92018,16338,24,768,3,3860,Business Owner,Postgraduate,Urban,Married,0
41,12200,5412,60,348,1,273,Business Owner,Graduate,Semiurban,Married,1
59,78497,12543,24,383,0,2013,Self-employed,Postgraduate,Rural,Single,0
39,56975,45355,36,660,1,5439,Salaried,PhD,Semiurban,Single,1
43,31357,38496,36,447,2,4433,Salaried,Postgraduate,Rural,Single,1
31,87505,28548,60,641,0,1389,Business Owner,Postgraduate,Urban,Single,0
31,12869,32384,60,775,3,3566,Salaried,Postgraduate,Semiurban,Single,1
44,71135,49425,24,362,2,4702,Salaried,PhD,Semiurban,Single,1
56,60108,43756,48,659,2,165,Salaried,Postgraduate,Urban,Married,1
60,104179,23888,24,626,3,1567,Business Owner,Postgraduate,Urban,Married,0
44,100272,40735,60,440,0,6154,Self-employed,Graduate,Urban,Single,0
23,48467,22506,60,514,0,5420,Self-employed,PhD,Semiurban,Married,0
42,33328,25463,12,734,2,728,Salaried,Postgraduate,Rural,Single,1
22,101412,22955,60,617,0,6944,Self-employed,PhD,Semiurban,Married,0
44,96831,42841,12,331,1,2043,Business Owner,Postgraduate,Rural,Married,1
64,13987,10104,48,584,3,4197,Business Owner,Postgraduate,Semiurban,Married,1
50,68871,39911,24,604,1,3496,Self-employed,Postgraduate,Semiurban,Single,1
58,32399,28190,24,728,0,5511,Self-employed,Graduate,Urban,Married,0
22,56214,12357,12,776,2,778,Salaried,Graduate,Rural,Single,0
41,109522,37479,24,585,3,213,Self-employed,Graduate,Semiurban,Married,1
53,96416,49811,60,443,0,3762,Salaried,PhD,Semiurban,Married,1
32,80271,41208,36,723,0,5207,Salaried,PhD,Urban,Married,0
42,54064,25150,12,318,2,1576,Business Owner,Graduate,Urban,Married,1
64,80091,10644,24,317,2,2448,Business Owner,PhD,Rural,Married,1
45,117450,48286,12,670,1,6731,Business Owner,Postgraduate,Semiurban,Single,0
69,50818,7914,12,474,3,2936,Business Owner,Postgraduate,Rural,Single,1
47,55525,26352,36,493,3,3117,Self-employed,Postgraduate,Semiurban,Married,1
62,29830,49912,60,801,2,5791,Business Owner,Graduate,Rural,Married,1
48,27429,19397,12,412,1,7630,Self-employed,PhD,Urban,Married,1
36,16893,46555,24,413,3,591,Business Owner,Graduate,Semiurban,Married,1
35,89909,5728,48,521,2,5429,Self-employed,PhD,Rural,Single,1
67,57333,5698,12,563,0,5205,Salaried,Postgraduate,Urban,Married,0
64,13436,44954,12,354,3,6235,Self-employed,Graduate,Urban,Single,1
23,84290,18923,36,757,1,7827,Self-employed,PhD,Rural,Married,0
57,86213,21779,60,461,1,2720,Business Owner,PhD,Semiurban,Single,1
27,15895,12400,48,679,1,713,Self-employed,Postgraduate,Semiurban,Married,1
41,29738,29466,24,386,0,935,Salaried,Graduate,Urban,Married,1
29,40746,41939,48,354,3,6047,Salaried,Graduate,Semiurban,Single,1
59,59377,9360,24,775,3,4337,Business Owner,Graduate,Semiurban,Married,0
